sigla,nombre,escuela,nivel,pre-requisitos,periodo,aprobado
EYP1025,Modelos Porbabilisticos,MAT,PR,"IMT2220,IMT2230",Semestral,True
IIC2133,Estructura de Datos y Algoritmos,ING,PR,"IIC1253,IIC2233",Semestral,True
IIC2413,Bases de Datos,ING,PR,"IIC2233",Semestral,True
IMT2250,Optimizacion para Ciencia de Datos,IMC,PR,"IMT2210,IMT2220",Anual,True
